id_meta,data,loja,meta_valor,meta_prod_clt,meta_tckt_medio
6063,2019-01-29 0:00:00,Arpoador,7889.89793289518,3.08,58.34
6094,2019-01-29 0:00:00,Leblon,4596.14281887239,3.08,57.26
6125,2019-01-29 0:00:00,Barra,5719.03637040168,3.08,57.114
